url,headline,player,score
http://comp20008-jh.eng.unimelb.edu.au:9889/main/oyaemoti050.html,Moya emotional at Davis Cup win,Andy Roddick,6-2 7-6 (7-1) 7-6 (7-5)
http://comp20008-jh.eng.unimelb.edu.au:9889/main/oyaemoti049.html,Moya emotional after Davis Cup win,Andy Roddick,6-2 7-6 (7-1) 7-6 (7-5)
http://comp20008-jh.eng.unimelb.edu.au:9889/main/lassyHen048.html,Classy Henman makes winning start,Nicolas Massu,6-1 7-5
http://comp20008-jh.eng.unimelb.edu.au:9889/main/oyaclinc046.html,Moya clinches Cup for Spain,Scott Davis,6-2 7-6 (7-1) 7-6 (7-5)
http://comp20008-jh.eng.unimelb.edu.au:9889/main/rodigyMo043.html,Prodigy Monfils blows away Gaudio,Greg Rusedski,6-4 7-6 (7-4)
http://comp20008-jh.eng.unimelb.edu.au:9889/main/edererbr039.html,Federer breezes into semi-finals,Rafael Nadal,6-1 6-2
http://comp20008-jh.eng.unimelb.edu.au:9889/main/ewittfal038.html,Hewitt falls to Dent in Adelaide,Lleyton Hewitt,7-6 (7-4) 6-3
http://comp20008-jh.eng.unimelb.edu.au:9889/main/njurysid037.html,Injury sidelines Philippoussis,Karol Kucera,7-5 6-3
http://comp20008-jh.eng.unimelb.edu.au:9889/main/lovakias035.html,Slovakia seal Hopman Cup success,Karol Kucera,1-6 6-4 6-4
http://comp20008-jh.eng.unimelb.edu.au:9889/main/ohansson033.html,Johansson takes Adelaide victory,Thomas Johansson,7-5 6-3
http://comp20008-jh.eng.unimelb.edu.au:9889/main/ochussho032.html,Rochus shocks Coria in Auckland,Olivier Rochus,6-4 6-4
http://comp20008-jh.eng.unimelb.edu.au:9889/main/oyafight031.html,Moya fights back for Indian title,Carlos Moya,3-6 6-4 7-6 (7/5)
http://comp20008-jh.eng.unimelb.edu.au:9889/main/ewittove030.html,Hewitt overcomes wobble in Sydney,Arnaud Clement,7-5 6-0
http://comp20008-jh.eng.unimelb.edu.au:9889/main/erenaend027.html,Serena ends Sania Mirza's dream,Mirza Basic,1-6 4-6
http://comp20008-jh.eng.unimelb.edu.au:9889/main/avenport026.html,Davenport dismantles young rival,Raymond Moore,6-2 6-4
http://comp20008-jh.eng.unimelb.edu.au:9889/main/ewittfal024.html,Hewitt falls to Dent,Thomas Enqvist,7-6 (7-4) 6-3
http://comp20008-jh.eng.unimelb.edu.au:9889/main/artinezs020.html,Martinez sees off Vinci challenge,Mario Martinez,5-7 6-0 6-2
http://comp20008-jh.eng.unimelb.edu.au:9889/main/enusstun019.html,Venus stunned by Farina Elia,Mirza Basic,7-5 7-6 (8-6)
